"id_casa","id_arrendatario","tipo_vivienda","provincia_ubicacion","capacidad_maxima","numero_habitaciones","numero_banos","precio_base_noche","categoria","distancia_centro_km","anio_construccion","amenities","calificacion_limpieza","calificacion_ubicacion","calificacion_general","mascotas_permitidas","fumadores_permitidos","eventos_permitidos"
866,316,"Casa","Salta",11,2,2,37256,"Lujo",5.4,1961,"Calefacción,Pileta,Acceso a playa",1.9,4,3.1,TRUE,FALSE,FALSE
867,821,"Chalet","Misiones",2,4,3,41891,"Ultra lujo",13.3,1965,"Acceso a playa,Jacuzzi,Estacionamiento,TV,Pileta,WiFi",4.8,3.5,2.6,TRUE,FALSE,FALSE
868,69,"Loft","Santa Cruz",6,3,4,12950,"Estándar",7.4,1969,"WiFi,Gimnasio",3.3,4.8,2.5,FALSE,FALSE,FALSE
869,399,"Loft","Chaco",10,2,2,38433,"Lujo",2.7,1958,"Aire acondicionado,WiFi,Parrilla,Pileta,Acceso a playa,Terraza,Seguridad 24hs,Vista al mar",3.7,1,2.9,FALSE,FALSE,FALSE
870,334,"Departamento","Jujuy",10,4,1,50809,"Ultra lujo",5.1,2009,"Cocina equipada,Acceso a playa",2,3.3,2.8,FALSE,FALSE,FALSE
871,274,"Cabaña","La Rioja",4,6,2,30210,"Lujo",11.8,1993,"WiFi,Terraza,TV,Gimnasio,Vista al mar",3.7,2.9,3.3,FALSE,FALSE,FALSE
872,195,"Departamento","La Pampa",8,4,1,32482,"Lujo",12.4,1967,"Aire acondicionado,Pileta,Cocina equipada,Acceso a playa,Parrilla,Calefacción",2.7,2.7,3.4,TRUE,FALSE,FALSE
873,689,"Casa","Buenos Aires",7,2,3,52401,"Ultra lujo",1.2,2007,"WiFi,Gimnasio,Cocina equipada,Acceso a playa,Parrilla,Jacuzzi",4.2,3.4,4.7,TRUE,FALSE,FALSE
874,749,"Loft","La Pampa",3,3,1,7977,"Económica",14,1993,"Cocina equipada,Estacionamiento,Vista al mar,Jacuzzi,Acceso a playa,Terraza,Gimnasio,Aire acondicionado",4,2.2,1,TRUE,TRUE,FALSE
875,462,"Casa","Misiones",5,1,2,35894,"Lujo",14.5,2023,"Cocina equipada,Pileta,Terraza,Seguridad 24hs,Jacuzzi",3.9,2.3,2.6,TRUE,FALSE,FALSE
876,54,"Chalet","Santa Fe",4,4,2,16817,"Estándar",9.7,1987,"Acceso a playa,TV",2.6,3.4,2.8,TRUE,FALSE,FALSE
877,601,"Departamento","La Rioja",7,5,3,37879,"Lujo",6.4,1973,"Jacuzzi,Acceso a playa,Cocina equipada,Terraza,Pileta,WiFi",3.2,4.3,4.6,TRUE,FALSE,FALSE
878,807,"Cabaña","Chaco",2,6,1,11251,"Económica",9.2,1968,"Estacionamiento,Seguridad 24hs,Calefacción,Cocina equipada",3.8,3.7,3,TRUE,TRUE,FALSE
879,167,"Departamento","Santa Fe",5,4,1,18774,"Premium",11.5,1968,"Acceso a playa,Aire acondicionado",2.8,1.6,1.6,TRUE,TRUE,FALSE
880,969,"Departamento","Formosa",10,6,3,19407,"Estándar",3.4,2007,"Vista al mar,WiFi,Pileta,Calefacción",5,3.7,4.3,TRUE,FALSE,FALSE
881,502,"Casa","Jujuy",10,3,3,39396,"Ultra lujo",14.1,1965,"Pileta,Parrilla,Vista al mar,Seguridad 24hs,Calefacción,Gimnasio,Estacionamiento,Terraza",1.6,1.5,3.7,TRUE,FALSE,FALSE
882,996,"Cabaña","Río Negro",5,1,1,15818,"Estándar",10.2,1988,"Cocina equipada,Jacuzzi,Estacionamiento,Parrilla,Gimnasio",3.6,4.2,3.7,TRUE,FALSE,FALSE
883,409,"Departamento","Catamarca",12,5,2,18295,"Estándar",10.3,1960,"Aire acondicionado,Cocina equipada,Acceso a playa,Gimnasio,Parrilla",3.5,2.2,2.6,FALSE,TRUE,TRUE
884,510,"Chalet","Jujuy",10,1,3,28595,"Lujo",1.6,1994,"WiFi,Gimnasio,Parrilla,Estacionamiento,TV",2.9,3.3,3.1,FALSE,FALSE,FALSE
885,175,"Cabaña","Córdoba",10,3,3,16070,"Estándar",1.9,2014,"TV,Seguridad 24hs,Acceso a playa,Parrilla,Calefacción,Gimnasio,Aire acondicionado,Cocina equipada",3.7,4.4,4.9,FALSE,FALSE,FALSE
886,549,"Cabaña","Mendoza",7,3,1,6277,"Económica",6.1,2013,"Parrilla,Aire acondicionado,Calefacción,Cocina equipada",4.7,4.1,1.8,FALSE,FALSE,FALSE
887,242,"Cabaña","Santa Cruz",12,6,4,28616,"Premium",9.7,2001,"Terraza,Parrilla,Estacionamiento,Jacuzzi,Pileta,Cocina equipada,Acceso a playa,Lavadora",4.6,3.1,1.5,TRUE,FALSE,FALSE
888,7,"Departamento","La Pampa",3,2,1,28347,"Lujo",12.6,1992,"Lavadora,Jacuzzi,Calefacción,Terraza",4.5,1.6,1.5,FALSE,FALSE,FALSE
889,513,"Casa","Río Negro",8,6,3,27666,"Lujo",5.8,1953,"Gimnasio,Vista al mar,Aire acondicionado,Estacionamiento,Lavadora,Terraza,WiFi",3.5,4.2,2.8,FALSE,FALSE,FALSE
890,335,"Departamento","Santa Fe",2,4,4,39496,"Lujo",4.8,2006,"Vista al mar,WiFi,Terraza,Gimnasio,Jacuzzi,Estacionamiento",2,2.3,3.7,TRUE,FALSE,FALSE
891,481,"Loft","Tierra del Fuego",9,4,4,53554,"Ultra lujo",7.3,2005,"Cocina equipada,Calefacción,Estacionamiento,TV,Gimnasio",2.6,4.6,4.3,TRUE,FALSE,FALSE
892,1,"Loft","Tucumán",5,3,2,13183,"Estándar",0.4,2009,"Calefacción,Gimnasio,Vista al mar,Cocina equipada,Acceso a playa,Terraza",1.2,1.5,1.3,FALSE,FALSE,FALSE
893,644,"Cabaña","Salta",5,5,4,41054,"Ultra lujo",9.4,1995,"Pileta,WiFi,Jacuzzi,Parrilla,Gimnasio,Cocina equipada",1.8,4.7,1.3,TRUE,FALSE,FALSE
894,25,"Cabaña","San Juan",11,2,3,10963,"Económica",7,1967,"Pileta,Gimnasio",4.4,4.6,2.3,FALSE,FALSE,FALSE
895,346,"Chalet","La Pampa",7,3,4,39703,"Ultra lujo",3.4,1970,"Vista al mar,Calefacción,TV,Seguridad 24hs,Aire acondicionado",2.8,4,2.6,TRUE,FALSE,FALSE
896,822,"Casa","CABA",10,6,4,32363,"Lujo",3.8,1967,"Vista al mar,Seguridad 24hs,Gimnasio,Lavadora,Calefacción,Cocina equipada,TV,WiFi",2.2,3.9,3.7,FALSE,FALSE,FALSE
897,180,"Departamento","Misiones",3,6,1,16495,"Estándar",10.9,1971,"Terraza,Lavadora,Aire acondicionado,Acceso a playa,Jacuzzi",4.8,1.1,4.5,FALSE,FALSE,FALSE
898,291,"Chalet","Córdoba",4,5,4,35578,"Ultra lujo",7.4,1950,"Parrilla,Jacuzzi",1.6,4.6,1.7,FALSE,FALSE,FALSE
899,119,"Loft","Chubut",2,1,2,12912,"Estándar",8,2007,"Acceso a playa,Lavadora,TV,Terraza,Calefacción",3.6,2.1,4.1,TRUE,FALSE,FALSE
900,612,"Loft","CABA",9,2,2,10365,"Estándar",13.6,1963,"Vista al mar,Gimnasio",3.2,2.4,1.1,FALSE,FALSE,FALSE
901,721,"Departamento","Tucumán",7,2,4,8477,"Económica",8.9,2014,"Parrilla,Seguridad 24hs,Gimnasio",1.7,1.9,4.3,TRUE,FALSE,FALSE
902,872,"Chalet","Córdoba",7,6,4,37873,"Lujo",2.4,1996,"Parrilla,TV,Pileta,Seguridad 24hs,Gimnasio,Vista al mar",4.4,1,4.4,TRUE,FALSE,FALSE
903,78,"Casa","Formosa",9,5,2,39820,"Lujo",14.5,2019,"Lavadora,Calefacción,Parrilla,Gimnasio,Estacionamiento,Cocina equipada,Pileta,WiFi",3.6,2.7,3.6,FALSE,FALSE,FALSE
904,50,"Chalet","Misiones",2,2,2,11614,"Estándar",9,1963,"Lavadora,Cocina equipada,Terraza",1.8,5,3.2,FALSE,FALSE,TRUE
905,361,"Chalet","Tucumán",11,6,4,56638,"Ultra lujo",14.5,1970,"Parrilla,Lavadora,Vista al mar,Jacuzzi",4,2.3,4.1,TRUE,FALSE,TRUE
906,837,"Chalet","La Pampa",3,6,4,13085,"Estándar",4.9,2020,"WiFi,Pileta",2.9,2,4.1,FALSE,FALSE,FALSE
907,454,"Chalet","Santa Cruz",6,3,3,9026,"Económica",7.1,1962,"Seguridad 24hs,TV",1.7,2.3,3,TRUE,FALSE,TRUE
908,986,"Casa","Jujuy",11,1,1,17360,"Estándar",13.1,1964,"Vista al mar,Acceso a playa,Terraza,Parrilla,Cocina equipada,Estacionamiento,Jacuzzi,WiFi",3.8,3.9,1.2,FALSE,FALSE,FALSE
909,252,"Cabaña","La Pampa",3,3,4,7986,"Económica",9.7,1969,"Acceso a playa,WiFi,TV,Aire acondicionado,Terraza",4.5,3.5,1.1,FALSE,FALSE,FALSE
910,307,"Loft","San Juan",6,4,4,48984,"Ultra lujo",8.9,1964,"WiFi,Gimnasio,Acceso a playa,Calefacción,Cocina equipada,Parrilla",3.9,1.1,2,FALSE,FALSE,FALSE
911,523,"Casa","Salta",11,1,4,14096,"Estándar",14.6,1979,"Acceso a playa,Estacionamiento,Seguridad 24hs",4.3,4.9,2.4,TRUE,FALSE,FALSE
912,542,"Cabaña","Santiago del Estero",6,4,3,41659,"Ultra lujo",10.1,2018,"TV,Calefacción,Vista al mar",1,2.1,3.6,FALSE,TRUE,FALSE
913,961,"Departamento","Santa Fe",7,5,2,45084,"Ultra lujo",2.2,1974,"Pileta,Seguridad 24hs,WiFi,Cocina equipada,Aire acondicionado,Parrilla",4.1,4.4,3.4,FALSE,FALSE,TRUE
914,361,"Cabaña","La Pampa",12,6,4,7988,"Económica",11.3,2011,"Calefacción,Estacionamiento",3.9,1,1.5,FALSE,FALSE,FALSE
915,684,"Chalet","Buenos Aires",11,5,4,7847,"Económica",11.7,1955,"TV,Aire acondicionado,Cocina equipada,Pileta,Calefacción,Seguridad 24hs",1.4,1.8,2.3,TRUE,FALSE,FALSE
916,931,"Chalet","Catamarca",8,6,3,29110,"Premium",8.2,2018,"Cocina equipada,Seguridad 24hs,Terraza",4.2,2.6,1.9,FALSE,FALSE,FALSE
917,494,"Casa","San Juan",2,3,3,35027,"Ultra lujo",7.4,1958,"Aire acondicionado,Calefacción,Vista al mar,Lavadora,Estacionamiento",2.1,4,2.4,TRUE,FALSE,FALSE
918,600,"Departamento","Misiones",7,5,3,9151,"Económica",9.3,2022,"Acceso a playa,Gimnasio,Vista al mar,Pileta,TV",2.4,3,4.9,FALSE,FALSE,FALSE
919,161,"Cabaña","Catamarca",5,5,2,30724,"Lujo",3.2,2019,"Terraza,Seguridad 24hs,Pileta",2.3,2.9,1.2,FALSE,FALSE,FALSE
920,565,"Chalet","La Pampa",4,2,1,25372,"Lujo",6,1989,"Pileta,Vista al mar,Estacionamiento,Terraza,TV,Cocina equipada,Jacuzzi",2.6,1.4,1.7,TRUE,TRUE,FALSE
921,770,"Chalet","Neuquén",9,4,2,7158,"Económica",8.8,1974,"Jacuzzi,Parrilla,Pileta,Calefacción,Terraza,Estacionamiento,WiFi",3.2,4.5,2.1,TRUE,FALSE,TRUE
922,139,"Casa","Corrientes",6,3,1,11125,"Económica",7,1972,"Jacuzzi,Gimnasio",2,2.8,2.2,FALSE,FALSE,FALSE
923,566,"Casa","Buenos Aires",6,6,4,28357,"Premium",5.1,2022,"Seguridad 24hs,WiFi,Cocina equipada,Estacionamiento,Acceso a playa,Terraza",4.2,3.7,3.8,FALSE,FALSE,FALSE
924,379,"Loft","Misiones",8,3,2,49064,"Ultra lujo",0.2,1994,"Acceso a playa,Terraza,Calefacción,Seguridad 24hs,Parrilla,WiFi,Aire acondicionado",2.6,3.8,3.5,FALSE,FALSE,TRUE
925,756,"Loft","Buenos Aires",4,2,2,31529,"Lujo",9.8,1996,"WiFi,Pileta",2.4,2.5,4.1,FALSE,FALSE,FALSE
926,303,"Departamento","Salta",6,4,2,19160,"Estándar",14.7,1963,"Vista al mar,Cocina equipada,WiFi,Calefacción,Terraza,Pileta,Seguridad 24hs",2,1.1,1.7,TRUE,FALSE,TRUE
927,260,"Chalet","Mendoza",5,1,1,28059,"Premium",14.1,1988,"Gimnasio,Acceso a playa,Calefacción,Pileta,Estacionamiento,Aire acondicionado,Jacuzzi",2.2,3.5,1.1,FALSE,FALSE,FALSE
928,653,"Chalet","Corrientes",12,3,4,27157,"Premium",7.1,1967,"Cocina equipada,Terraza,Gimnasio,Calefacción,Seguridad 24hs,Jacuzzi,Vista al mar",4.7,3.3,3.3,TRUE,FALSE,TRUE
929,286,"Chalet","Tierra del Fuego",9,1,4,13537,"Estándar",5.1,1967,"Terraza,Seguridad 24hs,Cocina equipada,WiFi,Jacuzzi,Vista al mar,Gimnasio",1.5,2.9,4.1,TRUE,FALSE,FALSE
930,656,"Loft","Córdoba",2,3,3,32812,"Lujo",13.4,1979,"Vista al mar,Terraza,Pileta,WiFi",1.9,1.5,2.5,FALSE,TRUE,FALSE
931,924,"Cabaña","Tucumán",11,3,3,50821,"Ultra lujo",7.4,2004,"Jacuzzi,Calefacción,Terraza,TV",4.9,1.6,3.4,TRUE,TRUE,FALSE
932,765,"Cabaña","Tierra del Fuego",12,5,1,19788,"Estándar",8.9,2008,"Terraza,TV,Pileta,Calefacción,Parrilla,WiFi,Seguridad 24hs",3.4,4,2.3,FALSE,TRUE,FALSE
933,706,"Casa","Santa Cruz",9,3,1,5647,"Económica",3.4,2005,"Parrilla,Gimnasio,Aire acondicionado,Pileta,Lavadora,Cocina equipada,Vista al mar,Acceso a playa",4.2,3.8,3.3,TRUE,FALSE,TRUE
934,873,"Chalet","Tucumán",8,3,3,7948,"Económica",2.3,1979,"Lavadora,Seguridad 24hs,Calefacción,WiFi,Terraza,Aire acondicionado,Estacionamiento,Pileta",3,1.8,3.7,FALSE,FALSE,FALSE
935,538,"Loft","La Rioja",10,2,3,39957,"Ultra lujo",0.9,2010,"Calefacción,Acceso a playa,TV",1.3,3.7,1.2,TRUE,FALSE,FALSE
936,533,"Loft","Tucumán",6,4,2,18514,"Estándar",14.9,2001,"Pileta,Cocina equipada,Calefacción,WiFi,Parrilla,Jacuzzi,Seguridad 24hs",4.7,5,3.6,TRUE,FALSE,FALSE
937,719,"Cabaña","Río Negro",7,2,1,27668,"Premium",4.7,1962,"Cocina equipada,Lavadora",2.9,3.9,3.5,TRUE,FALSE,FALSE
938,248,"Chalet","Mendoza",3,5,4,7057,"Económica",12.6,1982,"Lavadora,Terraza,Cocina equipada,Gimnasio,Acceso a playa",2.8,4.4,4,TRUE,FALSE,FALSE
939,742,"Departamento","La Pampa",8,5,3,19706,"Estándar",7.8,1969,"Gimnasio,Acceso a playa,Lavadora,Estacionamiento,TV",3.9,1.8,1.2,FALSE,TRUE,FALSE
940,60,"Chalet","Córdoba",12,1,2,54041,"Ultra lujo",14.5,1983,"Seguridad 24hs,Lavadora,Jacuzzi,Acceso a playa",1.4,2.6,2.7,FALSE,FALSE,FALSE
941,656,"Cabaña","Río Negro",2,2,1,30944,"Lujo",0.5,1953,"Acceso a playa,Estacionamiento,Pileta,Parrilla,WiFi,Terraza,Vista al mar,Gimnasio",2.3,4.8,2.2,FALSE,FALSE,FALSE
942,739,"Chalet","CABA",5,2,2,12220,"Estándar",0.2,1998,"Calefacción,Seguridad 24hs",2.7,2.8,4.4,TRUE,FALSE,FALSE
943,217,"Departamento","Mendoza",9,4,1,15617,"Estándar",6,1995,"TV,Terraza,Cocina equipada",4,1.2,1.9,FALSE,TRUE,FALSE
944,175,"Departamento","Córdoba",3,6,2,41183,"Ultra lujo",7.8,2005,"Estacionamiento,Calefacción,TV,Gimnasio,Cocina equipada,WiFi",2.9,2.8,1.3,TRUE,TRUE,FALSE
945,77,"Departamento","Chaco",11,5,4,14390,"Estándar",4.6,2023,"Terraza,Calefacción,Gimnasio,Vista al mar,Lavadora,Acceso a playa,Pileta",3.4,1.5,2.1,TRUE,FALSE,FALSE
946,604,"Loft","Salta",11,4,2,16964,"Estándar",10.3,1975,"Acceso a playa,Seguridad 24hs,Estacionamiento,Calefacción",3.4,1.8,2.6,FALSE,FALSE,FALSE
947,453,"Cabaña","Córdoba",3,6,1,7126,"Económica",10,2023,"Acceso a playa,WiFi,Seguridad 24hs",3.2,3.1,3.1,TRUE,FALSE,TRUE
948,670,"Cabaña","Formosa",11,2,1,40833,"Ultra lujo",11.7,1959,"WiFi,Gimnasio,Terraza,Seguridad 24hs,Lavadora",2.6,2,4.3,TRUE,TRUE,FALSE
949,25,"Loft","San Luis",3,4,2,35536,"Ultra lujo",8.1,2015,"Parrilla,Seguridad 24hs,Cocina equipada",1.8,4.5,4.1,TRUE,TRUE,TRUE
950,371,"Departamento","La Rioja",8,1,1,18092,"Estándar",12,1982,"Aire acondicionado,TV,Terraza,Jacuzzi,Seguridad 24hs,Lavadora,Pileta,Gimnasio",4.4,2.8,2.6,TRUE,FALSE,FALSE
951,890,"Chalet","Corrientes",4,4,3,26775,"Premium",10.1,2020,"Lavadora,Seguridad 24hs,Aire acondicionado,Cocina equipada,Parrilla,Vista al mar,Calefacción,Estacionamiento",4.7,3.2,3.2,FALSE,FALSE,FALSE
952,153,"Chalet","Catamarca",8,1,4,9873,"Económica",14.6,1954,"Seguridad 24hs,Estacionamiento,Acceso a playa,Jacuzzi,Cocina equipada,Vista al mar,Terraza",1.9,3.6,2.6,FALSE,FALSE,FALSE
953,217,"Chalet","Entre Ríos",4,5,4,39452,"Lujo",14.3,2004,"Lavadora,Parrilla,TV,Calefacción,Aire acondicionado,Vista al mar",2.5,2.5,5,FALSE,FALSE,FALSE
954,337,"Chalet","Neuquén",12,5,4,37586,"Lujo",10.3,1989,"Estacionamiento,Terraza,Cocina equipada",1.2,1.4,2.9,TRUE,FALSE,FALSE
955,415,"Loft","San Luis",3,4,3,33005,"Lujo",11.1,2005,"Parrilla,Pileta",1.9,1.4,3.2,TRUE,FALSE,FALSE
956,587,"Chalet","CABA",5,5,2,56092,"Ultra lujo",2.1,2012,"Vista al mar,Calefacción,Aire acondicionado,TV,Pileta,Cocina equipada,Seguridad 24hs,Acceso a playa",2.6,1.6,4.8,TRUE,FALSE,TRUE
957,57,"Cabaña","Entre Ríos",9,4,4,22060,"Premium",12.9,1991,"Terraza,Aire acondicionado",4,4.2,3.3,TRUE,FALSE,FALSE
958,274,"Chalet","Santiago del Estero",12,1,4,33857,"Lujo",12.6,1976,"WiFi,Jacuzzi,Cocina equipada,Aire acondicionado,Calefacción",4.9,1.8,2,FALSE,FALSE,FALSE
959,371,"Casa","Salta",2,1,2,27123,"Premium",1.9,2000,"Vista al mar,Estacionamiento,WiFi",4.3,3.3,3.7,FALSE,FALSE,FALSE
960,525,"Departamento","Misiones",10,2,1,37556,"Lujo",3.5,1963,"WiFi,Acceso a playa,TV,Terraza",3.4,4.2,3,TRUE,FALSE,FALSE
961,885,"Departamento","Corrientes",5,3,4,59771,"Ultra lujo",13.6,2006,"Seguridad 24hs,Gimnasio,Cocina equipada,WiFi,Vista al mar",1.4,4.2,2.8,FALSE,FALSE,FALSE
962,224,"Loft","Misiones",10,4,1,58635,"Ultra lujo",9.8,1980,"Acceso a playa,Lavadora,WiFi",2.2,4.1,4.6,FALSE,FALSE,FALSE
963,548,"Loft","La Pampa",8,4,3,26679,"Premium",2.9,2003,"Lavadora,WiFi,Cocina equipada,Gimnasio,Parrilla,Pileta,Seguridad 24hs",4,2.7,3.5,FALSE,FALSE,TRUE
964,46,"Chalet","Chubut",10,1,2,12973,"Estándar",6.6,1952,"Parrilla,Seguridad 24hs,TV",1.8,4.4,1.4,FALSE,FALSE,TRUE
965,177,"Loft","Tucumán",6,1,1,19906,"Estándar",3.8,1955,"Lavadora,Gimnasio,Parrilla,WiFi,Terraza,Aire acondicionado,Estacionamiento",1.9,4.1,3.5,FALSE,FALSE,FALSE
966,858,"Casa","Misiones",9,1,4,56247,"Ultra lujo",7.3,1981,"Lavadora,WiFi,Gimnasio,Seguridad 24hs,Estacionamiento,Cocina equipada,Aire acondicionado",1.1,2.6,2.6,TRUE,FALSE,TRUE
967,740,"Cabaña","Entre Ríos",7,4,1,10439,"Económica",13.5,1995,"Seguridad 24hs,Parrilla,WiFi,TV,Cocina equipada,Pileta,Terraza,Calefacción",1.9,4.1,4.5,FALSE,FALSE,FALSE
968,689,"Loft","San Luis",7,5,4,10378,"Estándar",7,1969,"Estacionamiento,Lavadora,Pileta",4.8,2.9,4.4,FALSE,FALSE,FALSE
969,91,"Loft","Santiago del Estero",12,1,2,29208,"Lujo",13.6,1976,"TV,Pileta,Seguridad 24hs,Acceso a playa,WiFi,Parrilla,Jacuzzi",4.7,2,1.8,TRUE,FALSE,FALSE
970,36,"Departamento","Entre Ríos",8,1,4,56221,"Ultra lujo",11.9,1999,"Aire acondicionado,Pileta,Calefacción,Lavadora,Estacionamiento,Acceso a playa",4.1,1.4,1.3,FALSE,FALSE,FALSE
971,380,"Departamento","Neuquén",3,2,3,7462,"Económica",4.2,1996,"Terraza,Gimnasio,Parrilla,Lavadora,Seguridad 24hs,Cocina equipada,Aire acondicionado",2.7,2,2.2,TRUE,FALSE,FALSE
972,274,"Casa","Corrientes",4,4,1,12679,"Estándar",5.3,1969,"Acceso a playa,Estacionamiento,Terraza,WiFi,Parrilla,Seguridad 24hs,Jacuzzi",1.8,2.2,1.5,FALSE,FALSE,TRUE
973,949,"Chalet","Formosa",12,3,4,39105,"Lujo",14.9,1996,"Jacuzzi,Lavadora,WiFi,Cocina equipada,Gimnasio",1.8,4.7,3.9,FALSE,FALSE,FALSE
974,658,"Cabaña","Formosa",8,2,3,45011,"Ultra lujo",6.6,2016,"Cocina equipada,Vista al mar,Lavadora",2.9,3.4,4.4,TRUE,FALSE,TRUE
975,417,"Loft","San Luis",4,6,2,10021,"Económica",4.7,2000,"Vista al mar,Cocina equipada,Parrilla,Aire acondicionado,Gimnasio,TV",1.6,2,2,FALSE,FALSE,FALSE
976,985,"Loft","Tierra del Fuego",5,1,4,18931,"Premium",2.3,1969,"Aire acondicionado,Parrilla,Cocina equipada",2,2.2,2.3,TRUE,FALSE,FALSE
977,693,"Casa","Jujuy",6,4,3,16141,"Estándar",0.4,2000,"Aire acondicionado,TV,Calefacción,Cocina equipada,WiFi,Estacionamiento,Parrilla,Terraza",1.2,3,3,TRUE,TRUE,TRUE
978,628,"Departamento","Río Negro",6,1,2,39189,"Lujo",6.6,2020,"WiFi,Lavadora",2.1,3.8,1.1,TRUE,FALSE,FALSE
979,844,"Departamento","Buenos Aires",7,4,3,7765,"Económica",3.2,1960,"Vista al mar,Terraza,Estacionamiento",3.8,1.9,4.4,TRUE,FALSE,FALSE
980,692,"Casa","La Pampa",4,5,4,18195,"Estándar",8.2,1955,"Gimnasio,Estacionamiento,Cocina equipada,Calefacción,WiFi",2.2,4.3,4.1,TRUE,FALSE,FALSE
981,1,"Casa","Santa Cruz",10,3,3,6729,"Económica",12.2,1970,"Aire acondicionado,WiFi,Lavadora,Calefacción,Gimnasio,Cocina equipada,Vista al mar,Parrilla",4.1,4.1,4.4,FALSE,TRUE,FALSE
982,331,"Loft","Mendoza",5,5,2,32690,"Lujo",2,1998,"Gimnasio,Estacionamiento,Cocina equipada,WiFi,Acceso a playa,Pileta",4.9,4,2.4,TRUE,FALSE,FALSE
983,852,"Cabaña","San Luis",5,6,4,5993,"Económica",3,1989,"Estacionamiento,Pileta,Cocina equipada,WiFi,Jacuzzi,Aire acondicionado",3.7,2.4,4.8,FALSE,FALSE,FALSE
984,955,"Loft","La Pampa",6,5,3,39843,"Ultra lujo",5.6,2003,"Terraza,Acceso a playa,Lavadora",3.3,2.9,4.7,TRUE,FALSE,FALSE
985,342,"Cabaña","Entre Ríos",6,2,4,40629,"Ultra lujo",5.2,1975,"Seguridad 24hs,Aire acondicionado,Vista al mar,Jacuzzi,Terraza",3,2.5,3.1,TRUE,FALSE,TRUE
986,531,"Chalet","Mendoza",10,2,3,38106,"Ultra lujo",10.6,2017,"Gimnasio,Jacuzzi,Terraza,Lavadora,Calefacción,Seguridad 24hs,WiFi",3,3.6,4.8,FALSE,FALSE,FALSE
987,16,"Chalet","San Juan",4,2,4,55863,"Ultra lujo",12.5,1990,"Terraza,Pileta",3.4,3.3,1.3,TRUE,FALSE,FALSE
988,765,"Departamento","Buenos Aires",10,3,4,18369,"Estándar",10.6,1973,"Calefacción,Pileta",1,2.2,4.6,FALSE,FALSE,FALSE
989,652,"Casa","Catamarca",11,3,3,35740,"Ultra lujo",9.3,2007,"Pileta,Aire acondicionado,Lavadora,Calefacción,Parrilla,Cocina equipada",3,4.3,3.4,FALSE,FALSE,FALSE
990,342,"Departamento","Chaco",7,3,4,9472,"Económica",5.2,1970,"Calefacción,Estacionamiento,Vista al mar,Acceso a playa,Seguridad 24hs,Cocina equipada,Lavadora,TV",2.4,2,2,TRUE,FALSE,FALSE
991,687,"Departamento","Neuquén",8,4,3,27761,"Lujo",9.9,1974,"Gimnasio,Acceso a playa",3.1,3.4,4.7,FALSE,FALSE,FALSE
992,946,"Departamento","Corrientes",9,1,3,43303,"Ultra lujo",12,1957,"Jacuzzi,Seguridad 24hs",1.9,2,4.5,FALSE,FALSE,FALSE
993,127,"Chalet","Buenos Aires",10,2,4,19966,"Estándar",3.1,1989,"Cocina equipada,Estacionamiento,Jacuzzi,WiFi",2.5,1.5,4.5,FALSE,FALSE,FALSE
994,189,"Departamento","Entre Ríos",11,4,3,22042,"Premium",8,1967,"Seguridad 24hs,Acceso a playa,Cocina equipada,Calefacción,Lavadora,Pileta,Jacuzzi,Parrilla",4.6,1.8,3.8,TRUE,TRUE,FALSE
995,285,"Departamento","Jujuy",10,5,2,48256,"Ultra lujo",11.6,1975,"Seguridad 24hs,Parrilla,Acceso a playa,Gimnasio,Pileta,Terraza,Calefacción",3.1,1.4,4.7,TRUE,TRUE,FALSE
996,454,"Cabaña","La Rioja",4,4,3,39295,"Lujo",5.6,1998,"Aire acondicionado,WiFi,TV,Estacionamiento,Cocina equipada",2.7,1,1.7,TRUE,FALSE,FALSE
997,371,"Cabaña","Chubut",7,5,4,31493,"Lujo",8.1,1976,"Parrilla,Gimnasio,Estacionamiento",1.4,3,2.5,TRUE,FALSE,FALSE
998,261,"Chalet","Chaco",4,5,3,30323,"Lujo",8.7,2014,"Terraza,Parrilla,Calefacción,TV,Pileta,Jacuzzi,Seguridad 24hs,Vista al mar",1.5,4.9,2.6,TRUE,FALSE,FALSE
999,212,"Casa","Mendoza",4,3,4,9022,"Económica",1.6,1981,"Gimnasio,Seguridad 24hs,TV,Vista al mar,Terraza,Lavadora",1.1,2.5,1.1,TRUE,FALSE,FALSE
1000,346,"Loft","Jujuy",12,6,4,56262,"Ultra lujo",0.5,1984,"WiFi,Estacionamiento,TV,Seguridad 24hs,Parrilla,Gimnasio,Aire acondicionado",3.9,1.2,1.6,TRUE,FALSE,FALSE
1001,890,"Departamento","La Pampa",3,1,4,29086,"Premium",12.3,1966,"Lavadora,WiFi",4.1,4.7,4.5,FALSE,TRUE,FALSE
1002,437,"Loft","Mendoza",2,6,1,32507,"Lujo",6.1,1980,"Gimnasio,Estacionamiento,Terraza,WiFi,Pileta,Calefacción,Cocina equipada",2.1,2.3,2.7,FALSE,FALSE,FALSE
1003,8,"Chalet","CABA",12,2,2,7154,"Económica",4.8,1990,"Terraza,Pileta",3.3,4.9,2.3,TRUE,FALSE,FALSE
1004,103,"Chalet","CABA",10,4,3,31043,"Lujo",6.3,1964,"Pileta,Estacionamiento,Aire acondicionado,Vista al mar",2.6,4.2,2.3,TRUE,FALSE,FALSE
